fungal	fungus
fall	fool
fall	far
far	fog
fog	frog
fag	fig
fig	fish
fig	fog
fog	foggy
fog	hog
bog	fog
bog	hog
fog	flog
flog	frog
space	spice
star	starve
grey	grain
grey	tray
crop	drop
poodle	puddle
hail	haze
drip	drop
sprinkle	sprinkles
storm	stormy
cane	rain
cane	gain
gain	grain
gain	rain
cane	lane
gain	lane
lane	rain
cane	main
gain	main
lane	main
main	rain
cane	mane
gain	mane
lane	mane
mane	rain
cane	pain
gain	pain
lane	pain
main	pain
mane	pain
pain	rain
cane	pane
gain	pane
lane	pane
main	pane
mane	pane
pane	rain
race	rain
race	rice
race	raid
raid	rain
hail	rail
race	rail
raid	rail
rail	rain
brain	grain
rain	brain
brain	crane
cane	crane
crane	crave
crane	grain
rain	crane
brain	drain
crane	drain
drain	grain
rain	drain
rain	rainy
haze	raise
race	raise
raid	raise
rail	raise
rain	raise
race	rake
raid	rake
rail	rake
rain	rake
raise	rake
race	rape
raid	rape
rail	rape
rain	rape
raise	rape
rake	rape
rape	shape
race	rate
raid	rate
rail	rate
rain	rate
raise	rate
rake	rate
rape	rate
race	rave
raid	rave
rail	rave
rain	rave
raise	rave
rake	rave
rape	rave
rate	rave
rave	crave
ray	grey
ray	race
ray	raid
ray	rail
ray	rain
ray	raise
ray	rake
ray	rape
ray	rate
ray	rave
ray	tray
cane	sane
gain	sane
lane	sane
main	sane
mane	sane
pain	sane
pane	sane
rain	sane
brain	train
crane	train
drain	train
grain	train
rain	train
tray	train
cane	vain
gain	vain
lane	vain
main	vain
mane	vain
pain	vain
pane	vain
rain	vain
sane	vain
vague	vain
cane	vein
gain	vein
lane	vein
main	vein
mane	vein
pain	vein
pane	vein
rain	vein
sane	vein
vague	vein
cane	wane
gain	wane
lane	wane
main	wane
mane	wane
pain	wane
pane	wane
rain	wane
sane	wane
vain	wane
vein	wane
arraign	cane
arraign	gain
arraign	lane
arraign	main
arraign	mane
arraign	pain
arraign	pane
arraign	rain
arraign	sane
arraign	vain
arraign	vein
arraign	wane
arraign	bane
bane	brain
bane	cane
bane	gain
bane	lane
bane	main
bane	mane
bane	pain
bane	pane
bane	rain
bane	sane
bane	vain
bane	vein
bane	wane
arraign	feign
bane	feign
cane	feign
feign	gain
feign	lane
feign	main
feign	mane
feign	pain
feign	pane
feign	rain
feign	sane
feign	vain
feign	vein
feign	wane
rain	rayon
haze	raze
race	raze
raid	raze
rail	raze
rain	raze
rake	raze
rape	raze
rate	raze
rave	raze
ray	raze
arraign	thane
bane	thane
cane	thane
feign	thane
gain	thane
lane	thane
main	thane
mane	thane
pain	thane
pane	thane
rain	thane
sane	thane
thane	vain
thane	vein
thane	wane
arraign	vane
bane	vane
cane	vane
feign	vane
gain	vane
lane	vane
main	vane
mane	vane
pain	vane
pane	vane
rain	vane
sane	vane
thane	vane
vague	vane
vane	wane
arraign	wain
bane	wain
cane	wain
feign	wain
gain	wain
lane	wain
main	wain
mane	wain
pain	wain
pane	wain
rain	wain
sane	wain
thane	wain
vain	wain
vane	wain
vein	wain
high	pie
gray	grain
ray	gray
gray	tray
mood	moon
kite	white
comet	vomit
pour	soar
high	sigh
pie	sigh
sigh	sky
sigh	sly
sky	sly
sly	slice
pie	spy
sigh	spy
sky	spy
sly	spy
spy	spice
sigh	sty
sky	sty
sly	sty
spy	sty
high	psi
pie	psi
psi	sky
psi	sly
psi	spy
psi	sty
scow	sky
gain	gale
gale	hail
gale	rail
soar	store
star	store
store	storm
store	stork
stork	storm
store	story
stork	story
storm	story
story	stormy
storm	swarm
store	storey
storey	stork
storey	storm
storey	stormy
eat	sheet
meat	sheet
milk	milled
air	egg
bride	fried
gale	pale
hail	pale
pain	pale
pale	pane
pale	rail
black	blank
teeth	tooth
sheet	shirt
blue	glue
paste	taste
platter	plaster
lane	plain
pain	plain
pane	plain
plain	plate
star	stark
stark	starve
stark	stork
bane	beige
cream	creamy
daisy	hazy
bone	bones
bones	bowls
milk	milky
dine	wine
wane	wine
white	wine
wine	wind
wain	wine
bite	kite
bite	white
byte	kite
byte	white
bite	cite
byte	cite
cite	kite
sigh	cite
cite	spit
cite	white
psi	cite
bite	fight
byte	fight
fight	kite
cite	fight
fight	white
bite	height
byte	height
fight	height
high	height
height	kite
cite	height
height	white
bite	knight
byte	knight
fight	knight
height	knight
kite	knight
cite	knight
knight	white
bite	light
byte	light
fight	light
height	light
kite	light
knight	light
cite	light
light	white
bite	might
byte	might
fight	might
height	might
kite	might
knight	might
light	might
cite	might
might	white
bite	mite
byte	mite
fight	mite
height	mite
kite	mite
knight	mite
light	mite
cite	mite
mite	white
bite	night
byte	night
fight	night
height	night
kite	night
light	night
might	night
mite	night
cite	night
night	white
bite	right
byte	right
cite	right
fight	right
height	right
kite	right
knight	right
light	right
might	right
mite	right
night	right
rate	right
rice	right
right	white
bite	rite
byte	rite
cite	rite
fight	rite
height	rite
kite	rite
knight	rite
light	rite
might	rite
mite	rite
night	rite
rate	rite
rice	rite
rite	white
bite	sight
byte	sight
fight	sight
height	sight
kite	sight
knight	sight
light	sight
might	sight
mite	sight
night	sight
right	sight
rite	sight
sigh	sight
sight	spit
sight	white
psi	sight
bite	site
byte	site
fight	site
height	site
kite	site
knight	site
light	site
might	site
mite	site
night	site
right	site
rite	site
sigh	site
site	spit
site	white
psi	site
bite	tight
byte	tight
cite	tight
fight	tight
height	tight
kite	tight
knight	tight
light	tight
might	tight
mite	tight
night	tight
right	tight
rite	tight
sight	tight
site	tight
tight	white
rate	wait
wait	waiter
wait	wane
wait	white
wain	wait
rate	weight
wane	weight
weight	waiter
weight	white
wain	weight
vile	while
while	white
while	wine
dine	whine
wane	whine
while	whine
whine	white
whine	wind
wain	whine
kite	quite
white	quite
high	why
pie	why
sigh	why
why	while
why	whine
why	white
why	wine
psi	why
while	wide
whine	wide
white	wide
why	wide
wide	wind
wide	wine
while	wife
whine	wife
white	wife
why	wife
wide	wife
wife	wine
while	wipe
whine	wipe
white	wipe
why	wipe
wide	wipe
wife	wipe
wine	wipe
wipe	wiper
while	wire
whine	wire
white	wire
why	wire
wide	wire
wife	wire
wine	wire
wipe	wire
wire	wiper
while	wise
whine	wise
white	wise
why	wise
wide	wise
wife	wise
wine	wise
wipe	wise
wire	wise
wet	wit
wit	wait
wit	weight
wit	white
bite	write
byte	write
cite	write
fight	write
height	write
kite	write
knight	write
light	write
might	write
mite	write
night	write
rate	write
rice	write
sight	write
site	write
tight	write
white	write
wet	whit
whit	wait
whit	weight
whit	white
vile	wile
whine	wile
white	wile
why	wile
wide	wile
wife	wile
wile	wine
wile	wipe
wile	wire
wile	wise
day	ray
funny	sunny
juggle	juggler
scarce	scary
clone	clown
clown	crown
crowd	crown
crown	frown
crowd	proud
ploughed	proud
plowed	proud
crowd	crowned
crown	crowned
crowd	shroud
proud	shroud
amp	damp
bam	bang
bam	boom
amplify	amplifier
audible	edible
collar	holler
noise	noisy
quite	quiet
pour	roar
roar	soar
raucous	ruckus
cream	scream
shout	shower
snore	snot
soar	snore
snore	store
load	loud
load	mode
loud	louse
bowed	loud
lied	light
lied	loud
lied	wide
lode	loud
lode	mode
loud	lour
lour	louse
read	bread
read	rude
read	rood
speak	speaker
allow	aloud
allied	aloud
lied	allied
clout	flout
flour	flout
allow	plough
plough	ploughed
plough	plowed
allow	plow
plow	ploughed
plow	plowed
bake	beige
bake	rake
bake	bane
fry	fried
gale	grill
grill	shrill
pan	van
book	cook
cock	cook
cock	wok
cook	coke
coke	yolk
cook	cookie
cooked	cookie
cooker	cookie
coke	crook
cook	crook
book	hook
cook	hook
cock	kick
cook	kick
book	look
cook	look
hook	look
book	nook
cook	nook
hook	nook
look	nook
book	oak
cook	oak
hook	oak
look	oak
nook	oak
oak	coke
oak	yolk
book	rook
cook	rook
hook	rook
look	rook
nook	rook
oak	rook
rook	crook
calk	cock
calk	cook
calk	kick
calk	caulk
caulk	cook
caulk	kick
caulk	wok
book	gook
cook	gook
gook	hook
gook	look
gook	nook
gook	oak
gook	rook
calk	kook
caulk	kook
cock	kook
cook	kook
kick	kook
book	shook
cook	shook
gook	shook
hook	shook
look	shook
nook	shook
oak	shook
rook	shook
bake	cake
cake	cane
kick	cake
cake	rake
grain	graze
gray	graze
grey	graze
raise	graze
raze	graze
ease	eat
eat	beat
beat	meat
beat	sheet
eat	east
east	feast
ease	eel
eat	eel
eel	meal
ease	eve
eat	eve
eel	eve
eat	each
each	eater
beat	feat
eat	feat
feat	feast
feat	feed
feat	foot
feat	meat
feat	sheet
beat	heat
eat	heat
feat	heat
heat	hut
heat	meat
heat	sheet
at	cat
at	eat
at	it
eat	it
it	wit
it	whit
beat	meet
eat	meet
feat	meet
heat	meet
meal	meet
meet	sheet
beat	neat
eat	neat
feat	neat
heat	neat
meat	neat
meet	neat
neat	sheet
beat	peat
eat	peat
feat	peat
heat	peat
meat	peat
meet	peat
neat	peat
peat	pita
peat	sheet
eat	beet
beet	feat
beet	heat
beet	meat
beet	meet
beet	neat
beet	peat
beet	sheet
beat	seat
beet	seat
eat	seat
feat	seat
heat	seat
meat	seat
meet	seat
neat	seat
peat	seat
seat	sheet
seat	sleet
beat	shit
beet	shit
eat	shit
feat	shit
heat	shit
meat	shit
meet	shit
neat	shit
peat	shit
seat	shit
shirt	shit
beat	wheat
beet	wheat
eat	wheat
feat	wheat
heat	wheat
meat	wheat
meet	wheat
neat	wheat
peat	wheat
seat	wheat
sheet	wheat
shit	wheat
wet	wheat
wheat	wit
wheat	whit
each	eats
eat	eats
eater	eats
beat	mete
beet	mete
eat	mete
feat	mete
heat	mete
meal	mete
mete	neat
mete	peat
mete	seat
mete	sheet
mete	shit
mete	wheat
beat	teat
beet	teat
eat	teat
feat	teat
heat	teat
meat	teat
meet	teat
mete	teat
neat	teat
peat	teat
seat	teat
sheet	teat
shit	teat
teat	teeth
teat	wheat
cat	catch
bang	bass
bam	bass
carp	tarp
cock	cod
caulk	cod
fin	fish
fig	fin
fin	feign
bait	bake
bait	beige
bait	beta
bait	bite
bait	byte
bait	rate
bait	wait
bait	weight
bait	bane
filling	fishing
grill	grilled
heaven	heron
cooked	hooked
hook	hooked
bake	lake
cake	lake
lake	lane
lake	rake
look	lure
lure	lour
neat	net
net	wet
birch	perch
pie	pike
eel	reel
meal	reel
reef	reel
famine	salmon
dark	shark
smelly	smelt
mole	sole
sole	sold
spawn	swan
gale	whale
hail	whale
pale	whale
rail	whale
wait	whale
wane	whale
weight	whale
whale	while
wain	whale
whale	wile
far	fear
fear	fin
fear	fish
fear	fig
fall	fill
fear	fill
fill	fin
fill	fish
fill	fool
fig	fill
fear	fit
feat	fit
fill	fit
fin	fit
fish	fit
fit	fight
fit	foot
fig	fit
it	fit
fit	wit
fit	whit
fear	fizz
fill	fizz
fin	fizz
fish	fizz
fit	fizz
fig	fizz
fish	fishy
dish	wish
fish	wish
wish	wit
whit	wish
fish	fissure
fishy	fissure
bead	beat
bead	feed
bead	beet
bead	deed
deed	dude
deed	feed
fee	feat
fee	feed
eel	feel
fall	feel
feat	feel
fee	feel
feed	feel
feel	fill
feel	fool
feel	meal
feel	reel
feed	field
feel	field
feed	fiend
field	fiend
bead	need
deed	need
feed	need
neat	need
need	nude
bead	reed
deed	reed
feed	reed
need	reed
read	reed
reed	reef
reed	reel
reed	rude
reed	rood
bead	seed
deed	seed
feed	seed
need	seed
reed	seed
seat	seed
bead	weed
deed	weed
feed	weed
need	weed
reed	weed
seed	weed
weed	wheat
bead	cede
cede	deed
cede	feed
cede	need
cede	reed
cede	seat
cede	weed
feed	feeder
feeder	fodder
feat	fief
fee	fief
feed	fief
feel	fief
fief	reef
bead	heed
cede	heed
deed	heed
feed	heed
heat	heed
heed	need
heed	reed
heed	seed
heed	weed
bead	keyed
cede	keyed
cod	keyed
deed	keyed
feed	keyed
heed	keyed
keyed	need
keyed	reed
keyed	seed
keyed	weed
bead	knead
cede	knead
deed	knead
feed	knead
heed	knead
keyed	knead
knead	neat
knead	nude
knead	reed
knead	seed
knead	weed
bead	mead
cede	mead
deed	mead
feed	mead
heed	mead
keyed	mead
knead	mead
mead	meal
mead	meat
mead	meet
mead	mood
mead	need
mead	reed
mead	seed
mead	weed
mead	mete
differ	dinner
differ	digger
digger	dinner
inner	dinner
dinner	sinner
inner	sinner
dinner	winner
inner	winner
sinner	winner
winner	winter
dicker	differ
dicker	digger
dicker	dinner
demur	dicker
demur	differ
demur	digger
demur	dinner
dicker	dimmer
differ	dimmer
digger	dimmer
dimmer	dinner
din	dine
din	dinner
din	dish
din	fin
din	dint
dinner	dint
demur	dipper
dicker	dipper
differ	dipper
digger	dipper
dimmer	dipper
dinner	dipper
demur	dither
dicker	dither
differ	dither
digger	dither
dimmer	dither
dinner	dither
dipper	dither
dinner	thinner
inner	thinner
sinner	thinner
thinner	winner
cat	fat
fad	fat
fag	fat
fat	fatty
fat	feat
fat	fit
fat	foot
at	fat
dial	diet
diet	riot
right	riot
rite	riot
write	riot
wash	wish
wash	wok
egg	eggs
ghost	toast
flying	frying
peat	pot
cooking	looking
caulking	cooking
cooking	hooking
hooking	looking
caulking	kicking
cooking	kicking
delicious	malicious
branch	brunch
bunch	brunch
bunch	lunch
bunch	munch
brunch	crunch
brunt	brunch
up	cup
colored	cupboard
colored	covered
covered	cupboard
cat	hat
fat	hat
hat	heat
at	hat
hat	hut
chef	deaf
air	share
chef	share
share	sherry
chef	shed
read	shed
share	shed
chef	shelf
chef	shell
share	shell
shed	shell
shell	shelf
shell	yell
chef	ref
deaf	ref
read	ref
reef	ref
chef	sheaf
fief	sheaf
reef	sheaf
sheaf	sheet
sheaf	shit
bake	baker
baker	bakery
bun	buns
butter	gutter
cream	crumb
crust	crusty
dough	toe
load	loaf
loaf	lode
raise	rise
rice	rise
right	rise
rise	rite
rise	wise
rise	write
raze	rise
mole	roll
roll	sole
roll	rolled
high	rye
pie	rye
ray	rye
rye	fry
rye	rice
rye	right
rye	rise
rye	rite
rye	sigh
rye	why
rye	write
psi	rye
scale	stale
toast	toaster
east	yeast
feast	yeast
bead	bed
bed	bread
bed	read
bed	shed
bread	breath
bread	breadth
breath	breadth
bead	breed
bread	breed
reed	breed
bread	dread
read	dread
bed	red
red	bread
red	dread
red	reed
red	rude
red	shed
red	ref
red	rood
bread	shred
dread	shred
read	shred
red	shred
shed	shred
bread	thread
dread	thread
read	thread
red	thread
shred	thread
bread	tread
dread	tread
read	tread
red	tread
shred	tread
thread	tread
bread	broad
breed	broad
bread	brood
breed	brood
broad	brood
rude	brood
rood	brood
bone	bowl
bowl	bold
bowl	bowls
bowl	mole
bowl	roll
bowl	sole
spawn	spoon
wash	washer
dear	dish
dear	fear
dear	din
deer	dish
deer	fear
deer	din
dear	dick
deer	dick
dick	dish
dick	kick
dick	dicker
dick	din
dear	dig
deer	dig
dick	dig
dig	dish
dig	fig
dig	digger
dig	din
dear	dim
deer	dim
dick	dim
dig	dim
dim	dish
dim	demur
dim	dimmer
dim	din
dear	dip
deer	dip
dick	dip
dig	dip
dim	dip
dip	dish
dip	drip
din	dip
dip	dipper
dish	ditch
dash	dish
dear	dill
deer	dill
dick	dill
dig	dill
dill	dim
dill	dip
dill	dish
dill	fill
dill	din
dint	dished
dish	dished
eating	heating
eating	meeting
heating	meeting
ceiling	seating
eating	seating
heating	seating
meeting	seating
eating	sting
sting	seating
easing	eating
eating	sheeting
heating	sheeting
meeting	sheeting
seating	sheeting
ting	eating
ting	sting
murky	turkey
beat	beast
east	beast
beast	feast
beet	beast
beast	yeast
fat	fast
fast	feast
fast	first
feast	first
fast	fist
feast	fist
first	fist
fit	fist
fist	mist
beast	least
east	least
feast	least
least	yeast
beast	leased
east	leased
feast	leased
leased	yeast
collar	color
color	colored
beast	best
cooker	hooker
hook	hooker
hooked	hooker
caulk	cocker
cock	cocker
cocker	collar
cocker	cooker
cocker	kicker
cooker	kicker
dicker	kicker
kick	kicker
cooker	looker
hooker	looker
look	looker
cooker	ochre
hooker	ochre
looker	ochre
oak	ochre
bead	beef
beat	beef
beef	beet
beef	reef
beef	fief
beef	sheaf
fried	fries
fry	fries
rise	fries
bam	ham
ham	hat
bigger	burger
bigger	digger
burger	burglar
burger	burner
beggar	bigger
beggar	burger
beggar	bugger
bigger	bugger
bugger	burger
bugger	butter
bog	burg
burg	burger
burg	burp
dice	dine
dice	rice
day	die
die	dice
die	dine
die	high
die	pie
die	rye
die	sigh
die	why
die	psi
dice	dime
die	dime
dim	dime
dime	dine
dear	dire
deer	dire
dice	dire
die	dire
dime	dire
dine	dire
dice	dive
die	dive
dime	dive
dine	dive
dire	dive
dine	down
day	dye
dye	dice
dye	dime
dye	dine
dye	dire
dye	dive
dye	high
dye	pie
dye	rye
dye	sigh
dye	why
dye	psi
dice	dyke
dick	dyke
die	dyke
dime	dyke
dine	dyke
dire	dyke
dive	dyke
dye	dyke
dyke	pike
dine	fine
fight	fine
fin	fine
fine	whine
fine	wine
feign	fine
dine	gin
din	gin
dine	line
fine	line
lane	line
light	line
line	whine
line	wine
lied	line
dine	mine
fine	mine
line	mine
main	mine
mane	mine
might	mine
mine	mite
mine	whine
mine	wine
dine	nine
fine	nine
knight	nine
line	nine
mine	nine
night	nine
nine	whine
nine	wine
dine	pine
fine	pine
line	pine
mine	pine
nine	pine
pain	pine
pane	pine
pie	pine
pike	pine
pine	whine
pine	wine
dine	shine
fine	shine
line	shine
mine	shine
nine	shine
pine	shine
shine	whine
shine	wine
cite	sign
dine	sign
fine	sign
line	sign
mine	sign
nine	sign
pine	sign
sane	sign
shine	sign
sigh	sign
sight	sign
sign	site
sign	whine
sign	wine
psi	sign
cite	sine
dine	sine
fine	sine
line	sine
mine	sine
nine	sine
pine	sine
sane	sine
shine	sine
sigh	sine
sight	sine
sine	site
sine	whine
sine	wine
psi	sine
dine	vine
fine	vine
line	vine
mine	vine
nine	vine
pine	vine
shine	vine
sign	vine
sine	vine
vain	vine
vein	vine
vile	vine
vine	whine
vine	wine
vane	vine
dice	dike
dick	dike
die	dike
dike	dime
dike	dine
dike	dire
dike	dive
dye	dike
dike	pike
dice	dyed
die	dyed
dike	dyed
dime	dyed
dine	dyed
dire	dyed
dive	dyed
dye	dyed
dyed	dyke
dyed	wide
dyed	lied
dine	tine
fine	tine
line	tine
mine	tine
nine	tine
pine	tine
shine	tine
sign	tine
sine	tine
tight	tine
tine	vine
tine	whine
tine	wine
foam	home
soothe	soup
warm	swarm
warm	wart
warm	warmth
comfort	comforter
comfort	comforts
comforter	comforts
chew	chewy
cheese	choose
chew	choose
chewy	choose
chew	issue
shoe	chew
shoe	issue
shoe	to
to	chew
to	stew
to	tooth
shoe	too
too	chew
too	stew
too	tooth
chew	true
to	true
too	true
shoe	two
two	chew
two	stew
two	tooth
two	true
chaw	chew
chew	chewer
chewer	chewy
chewer	choose
best	breast
chalk	chick
breath	broth
broad	broth
catch	hatch
hat	hatch
cluck	pluck
ghost	roast
roast	toast
roost	rooster
star	stock
stock	stark
die	thigh
dye	thigh
high	thigh
pie	thigh
rye	thigh
sigh	thigh
thigh	why
psi	thigh
wing	wish
wing	wit
ting	wing
whit	wing
wing	wings
bacon	taken
chicken	taken
diaper	diner
diaper	wiper
dipper	diaper
diner	downer
down	downer
diner	liner
line	liner
diner	miner
liner	miner
mine	miner
diner	minor
liner	minor
mine	minor
diaper	diver
diner	diver
dive	diver
diner	finer
fiber	finer
fine	finer
finer	liner
finer	miner
finer	minor
diner	shiner
finer	shiner
liner	shiner
miner	shiner
minor	shiner
shine	shiner
diner	signer
finer	signer
liner	signer
miner	signer
minor	signer
shiner	signer
sign	signer
sine	signer
sinner	signer
diner	whiner
finer	whiner
liner	whiner
miner	whiner
minor	whiner
shiner	whiner
signer	whiner
whine	whiner
whiner	wind
wine	whiner
winner	whiner
whiner	wiper
wire	whiner
brain	brave
brave	crave
rave	brave
cake	cave
cane	cave
cave	crave
cave	rave
crane	crate
crate	crave
rate	crate
crane	craze
crate	craze
crave	craze
craze	graze
raise	craze
raze	craze
brave	grave
crave	grave
grain	grave
gray	grave
grave	graze
grey	grave
rave	grave
crave	craved
crane	crepe
crate	crepe
crave	crepe
craze	crepe
rape	crepe
cat	cut
cup	cut
cut	hut
far	farm
crap	crop
crap	creep
cream	creep
creep	crop
cock	cop
cod	cop
cop	carp
cop	crop
cop	cup
caulk	cop
crop	prop
drop	prop
caulk	crock
cock	crock
crock	crook
crock	crop
crop	cropper
crap	croup
creep	croup
crop	croup
croup	group
sigh	soy
soar	soy
psi	soy
ochre	odor
smell	smelly
smell	smelt
aroma	coma
day	date
bait	date
date	rate
date	wait
date	weight
expire	inspire
expire	expired
boom	room
room	rude
rood	room
dining	diving
dying	diving
dying	dining
dining	mining
dining	shining
mining	shining
dining	lining
lining	lightning
lining	mining
lining	shining
dyeing	dining
dyeing	diving
dining	pining
lining	pining
mining	pining
pining	shining
dining	signing
lining	signing
mining	signing
pining	signing
shining	signing
favor	flavor
favor	savor
hat	hot
heat	hot
hog	hot
hot	hut
hot	pot
bellow	yellow
carry	curry
covey	curry
covey	cuddy
cuddy	curry
drought	trout
deaf	death
famine	fashion
famine	fasten
fashion	fasten
famine	fatten
fashion	fatten
fasten	fatten
famine	gammon
gammon	salmon
farm	farmer
devour	devout
dunk	junk
glaze	graze
glaze	glazed
bowl	hole
hole	hold
hole	home
hole	mole
hole	roll
hole	sole
seat	sweet
sleet	sweet
wheat	sweet
batty	fatty
batty	catty
carry	catty
cat	catty
catch	catty
catty	fatty
batty	natty
catty	natty
fatty	natty
natty	nasty
batty	ratty
catty	ratty
fatty	ratty
natty	ratty
rally	ratty
batty	tatty
catty	tatty
fatty	tatty
natty	tatty
ratty	tatty
corn	horn
horde	horn
calorie	gallery
calorie	salary
gallery	salary
calorie	cannery
bun	done
done	dove
din	done
book	booked
booked	cooked
booked	hooked
fastening	fattening
bran	brash
fiber	fighter
fight	fighter
fighter	finer
fight	fire
fine	fire
fire	fiber
fire	fighter
fire	wire
fire	finer
fiber	filer
fighter	filer
fire	filer
filer	finer
fag	gag
groat	throat
choke	choked
cookout	lookout
fin	tin
din	tin
tin	tine
tin	ting
eager	eater
beat	beater
beater	butter
eater	beater
beet	beater
eager	either
eater	either
beater	heater
eater	heater
heat	heater
beater	liter
eater	liter
heater	liter
beater	meter
eater	meter
heater	meter
liter	meter
meat	meter
meet	meter
mete	meter
eater	otter
eater	stir
otter	stir
stew	stir
eater	utter
otter	utter
stir	utter
utter	butter
utter	gutter
at	attar
attar	eater
attar	otter
attar	stir
attar	utter
eater	eatery
eager	ether
eater	ether
either	ether
beater	teeter
eater	teeter
heater	teeter
liter	teeter
meter	teeter
teat	teeter
arable	edible
day	hay
hay	haze
hay	high
hay	hail
hay	ray
father	fodder
fodder	solder
ethic	ethnic
chimp	chomp
chalk	chop
chop	chomp
champ	chimp
champ	chomp
champ	chump
chimp	chump
chomp	chump
hot	heart
fall	full
feel	full
fill	full
fool	full
foot	full
full	fowl
ceiling	feeling
feeding	feeling
feeling	filling
feeding	leading
ceding	ceiling
ceding	feeding
ceding	leading
ceding	seating
bold	bolt
bowl	bolt
bolt	bowls
bolt	molt
bold	bowler
bolt	bowler
bowl	bowler
bowler	bowls
bowls	polls
buffet	cafe
buffet	buffeted
people	purple
scale	snail
snail	stale
small	smell
heart	hearty
hearty	party
falling	feeling
falling	filling
fling	falling
fling	feeling
fling	filling
filling	failing
filling	killing
kicking	killing
filling	willing
killing	willing
ailing	failing
ailing	filling
ailing	killing
ailing	willing
ailing	billing
billing	filling
billing	killing
billing	willing
filling	fiddling
filling	filming
falling	fooling
feeling	fooling
filling	fooling
fling	fooling
fooling	foolish
ailing	schilling
billing	schilling
filling	schilling
killing	schilling
schilling	willing
ailing	shilling
billing	shilling
filling	shilling
killing	shilling
shilling	willing
ailing	yearling
billing	yearling
filling	yearling
killing	yearling
schilling	yearling
shilling	yearling
willing	yearling
yearling	yelling
knife	knight
knife	night
knife	nine
knife	wife
fork	pork
pour	pork
load	road
mode	road
road	roll
lode	road
road	rolled
cork	corn
cork	fork
cork	pork
calk	cork
far	for
fear	for
for	fork
for	pour
for	roar
for	soar
for	force
force	fork
far	fore
fear	fore
fore	force
fore	fork
fore	pour
fore	roar
fore	soar
farm	form
for	form
force	form
fore	form
fork	form
form	warm
for	fort
force	fort
fore	fort
fork	fort
form	fort
fort	wart
for	forth
force	forth
fore	forth
fork	forth
form	forth
fort	forth
far	four
fear	four
four	force
four	fork
four	form
four	fort
four	forth
four	pour
four	roar
four	soar
for	fourth
force	fourth
fore	fourth
fork	fourth
form	fourth
fort	fourth
four	fourth
cork	torque
fork	torque
pork	torque
torque	stork
for	ford
force	ford
fore	ford
ford	fork
ford	form
ford	fort
ford	forth
four	ford
ford	fourth
ford	horde
ice	dice
ice	rice
freeze	freezer
frieze	freezer
mint	mist
dint	mint
new	anew
new	nude
new	shoe
new	to
new	too
new	two
flesh	fresh
fresh	fret
fret	fruit
fresh	fresher
fresher	pressure
fresh	thresh
thread	thresh
maggot	magnet
bridge	fridge
fridge	fringe
fridge	forage
ridge	bridge
ridge	fridge
dill	oil
fill	oil
fire	friar
friar	fried
friar	fries
fry	friar
fight	fright
friar	fright
fried	fright
fries	fright
fry	fright
right	fright
rite	fright
write	fright
bride	pride
fried	pride
pride	proud
raid	ride
rice	ride
ride	bride
ride	fried
ride	pride
ride	right
ride	rise
ride	rite
rye	ride
ride	wide
ride	write
dyed	ride
lied	ride
frayed	fried
raid	frayed
fire	fryer
fried	fryer
fries	fryer
fright	fryer
fry	fryer
bride	tried
fried	tried
pride	tried
ride	tried
garlic	garlicky
garnish	tarnish
garnish	varnish
tarnish	varnish
fee	free
free	freeze
free	frieze
breed	greed
greed	green
reed	greed
greasy	greedy
