absorbent	absorber
attorney	barrister
barmaid	bartender
assumption	base
ball	baseball
alphabet	basics
assumption	basis
ball	basketball
appear	basset
bath	bathing
artillery	battery
assault	battery
attempt	batting
action	battle
assault	battle
attempt	battle
adornment	bauble
bark	bay
abound	be
act	be
adorn	be
amount	be
answer	be
appear	be
attend	be
balance	be
bake	be
agree	be
accept	be
account	be
adhere	be
adorn	bead
air	beam
appear	beam
bare	beam
beacon	beam
balk	beam
act	bear
assert	bear
balance	bear
accept	bear
allow	bear
acquit	bear
adult	beast
aggressor	beast
attacker	beast
batter	beat
be	beat
agitate	beat
bat	beat
appearance	beauty
beard	beaver
attract	beckon
appeal	beckon
amount	become
arise	become
artifact	bed
base	bed
backing	bed
ale	beer
beat	beetle
beet	beetroot
accomplish	begin
act	begin
attain	begin
attack	begin
be	begin
achieve	begin
apprentice	beginner
attack	beginning
act	behave
assert	behave
bear	behave
action	behavior
aggression	behavior
activity	behavior
animation	being
beast	being
animal	being
assail	beleaguer
attack	beleaguer
affect	belie
anticipate	believe
bank	believe
accept	believe
admirer	believer
apostle	believer
attach	bell
be	belong
ammo	belt
band	belt
accessory	belt
ammunition	belt
administration	bench
arch	bend
angle	bend
arc	bend
aid	benefit
advantage	benefit
acquire	benefit
bed	berth
assail	beset
assault	beset
adorn	beset
attack	beset
annoy	beset
beat	best
attempt	best
alter	bestow
award	bestow
anticipate	bet
bank	bet
ante	bet
back	bet
bamboozle	betray
aid	better
advance	better
alter	better
alcohol	beverage
angle	bias
argue	bicker
allure	bid
attempt	bid
advertise	bill
advertising	bill
assess	bill
ad	bill
account	bill
advert	bill
advertisement	bill
asking	billing
attach	bind
band	bind
balk	bind
article	bind
adhere	bind
adhesive	binder
attraction	binding
author	biographer
account	biography
bear	birth
beginning	birth
alteration	birth
anniversary	birthday
ache	bite
ale	bitter
berry	blackberry
bag	bladder
arm	blade
accusation	blame
ascribe	blame
accuse	blame
assign	blame
attribute	blame
bedding	blanket
bed	blanket
beam	blaze
blast	blaze
agent	bleach
appearance	blemish
absorb	blend
accord	blend
alloy	blend
agree	blend
anoint	bless
arouse	bless
bestow	bless
adoption	blessing
appreciation	blessing
acceptance	blessing
admiration	blessing
backup	blessing
backing	blessing
airship	blimp
alter	blind
blind	blinder
bat	blink
assail	blister
assault	blister
attack	blister
alter	blister
assail	blitz
attack	blitz
artifact	block
anvil	block
area	block
asphyxiate	block
bar	block
action	blockade
beleaguer	blockade
block	blockade
absorb	blot
blemish	blot
bang	blow
bash	blow
belt	blow
blast	blow
amplify	blow
biff	blow
blip	blow
bellows	blower
azure	blue
berry	blueberry
bank	bluff
alter	blunt
alter	blur
act	bluster
amplify	bluster
behave	bluster
blast	bluster
blow	bluster
boarding	boards
amplify	boast
bluster	boast
bluster	boasting
ark	boat
barge	boat
arrange	bob
administration	body
anatomy	body
be	body
aircraft	bogey
be	boil
alter	boil
bar	bolt
ball	bolus
arms	bomb
assail	bomb
attack	bomb
blast	bomb
airplane	bomber
bomb	bombshell
attach	bond
bind	bond
attraction	bond
attachment	bonding
antelope	bongo
blues	boogie
authority	book
album	book
accounting	bookkeeping
book	booklet
aid	boost
assist	boost
assistance	boost
amplifier	booster
advocate	booster
advertiser	booster
believer	booster
blow	boot
alcohol	booze
bitters	booze
bib	booze
accept	borrow
acquire	borrow
adoption	bosom
acceptance	bosom
block	boss
beset	bother
affect	bother
agitate	bother
base	bottom
baffle	bound
border	bound
bounce	bound
border	boundary
border	bounds
abundance	bounty
aroma	bouquet
bounds	bourn
boundary	bourn
bound	bourn
bottom	bout
arm	bow
bend	bow
ball	bowl
bowling	bowls
area	box
blow	box
affect	brace
ballast	brace
animate	brace
band	bracelet
amplify	brag
boast	brag
boasting	brag
boast	bragging
boasting	bragging
adorn	braid
apprehension	brainstorm
brake	brakes
affluent	branch
arm	brand
booze	brandy
bench	brass
body	brass
baritone	brass
boob	breach
blunder	breach
beam	breadth
blackout	break
betray	break
become	break
annul	break
appear	break
blunt	break
accident	break
boob	break
avoid	break
blow	break
assign	break
blunder	break
babble	break
alter	break
bog	break
alteration	break
article	breakable
analysis	breakdown
breach	breakup
break	breakup
alteration	breakup
attain	breast
bosom	breast
air	breath
aspiration	breath
activity	breath
belch	breathe
break	breathe
be	breathe
breath	breeze
blow	breeze
alcohol	brew
beer	brew
adobe	brick
auction	bridge
abstract	brief
apprise	brief
alter	brighten
blaze	brightness
brightness	brilliance
bill	brim
attract	bring
alter	bring
border	brink
boundary	brink
bound	brink
accelerate	brisk
address	broach
air	broadcast
bare	broadcast
announcer	broadcaster
book	brochure
be	broil
birth	brooding
biddy	broody
accept	brook
allow	brook
bouillon	broth
biscuit	brownie
antique	browse
application	browser
affront	bruise
arouse	bruise
brake	brush
adult	brute
aggressor	brute
attacker	brute
being	brute
breathe	bubble
alter	bubble
arise	bubble
bill	buck
break	buckle
bloom	bud
blossom	bud
begin	bud
brown	buff
bison	buffalo
bar	buffet
bead	bugle
brass	bugle
amend	build
base	build
better	build
body	build
architecture	building
assembly	building
brothel	building
belly	bulge
bulge	bulk
affect	bull
blooper	bull
blunder	bull
botch	bull
boner	bull
bloomer	bull
assail	bulldog
assault	bulldog
attack	bulldog
air	bulletin
bare	bulletin
account	bulletin
affect	bullshit
aggressor	bully
attacker	bully
aggression	bullying
bee	bumblebee
annoyance	bummer
bash	bump
belly	bump
belt	bump
bang	bump
assign	bump
bagel	bun
bread	bun
bale	bundle
arrange	bundle
bosh	bunk
bullshit	bunk
bed	bunk
bull	bunk
authorities	bureaucracy
ache	burn
blow	burn
beam	burn
blaze	burn
blacken	burn
blemish	burn
breathe	burp
bit	burr
belch	burst
break	burst
blow	burst
activity	burst
bound	burst
auto	bus
automobile	bus
blueberry	bush
broom	bush
box	bush
accounting	business
acting	business
activity	business
advertising	business
agency	business
agriculture	business
appointment	business
berth	business
billet	business
biz	business
building	business
aim	business
baron	businessman
assail	bust
attack	bust
break	bust
bomb	bust
building	butchery
business	butchery
barrel	butt
add	button
artifact	button
badge	button
bell	button
believe	buy
be	buy
acquire	buy
be	buzz
activity	buzz
button	buzzer
bunk	buzzword
auto	cab
automobile	cab
buffer	cache
biscuit	cake
block	cake
apocalypse	calamity
add	calculate
anticipate	calculate
approximate	calculate
balance	calculate
bank	calculate
bill	calculate
budget	calculate
average	calculate
allow	calculate
approximation	calculation
abacus	calculator
adder	calculator
analysis	calculus
arrangement	calendar
augur	call
baptize	call
beep	call
ask	call
bet	call
address	call
bellowing	call
brand	call
calculate	call
boo	call
asking	call
awaken	call
arouse	call
bellow	call
bird	call
adjudge	call
better	caller
announcer	caller
bettor	caller
business	calling
appease	calm
assure	calm
affect	calm
birth	calving
band	camp
alter	camp
advertise	campaign
buoy	can
caddy	can
annul	cancel
balance	cancel
avoid	cancel
adjudge	cancel
brittle	candy
beat	cane
bitch	canine
ammo	canister
ammunition	canister
bush	cannabis
artillery	cannon
boat	canoe
back	cantle
appraise	canvas
assay	canvas
background	canvas
beg	canvas
audit	canvas
assay	canvass
beg	canvass
background	canvass
appraise	canvass
audit	canvass
beret	cap
activity	capability
aptitude	capability
ability	capability
activity	capacity
capability	capacity
ability	capacity
bush	caper
bounce	caper
bound	caper
assets	capital
bearer	capitalist
brute	captive
beast	captive
animal	captive
abductor	captor
action	capture
appeal	capture
attract	capture
bag	capture
apprehension	capture
arrest	capture
abduction	capture
assume	capture
activity	capture
alter	capture
acquire	capture
ambulance	car
bus	car
cab	car
caboose	car
brown	caramel
candy	caramel
camper	caravan
assure	card
bill	card
book	card
ascertain	card
card	cardboard
bishop	cardinal
bridge	cards
boodle	cards
aid	care
anxiety	care
assist	care
attend	care
brood	care
advance	career
advancement	career
business	career
adult	caregiver
bear	carnivore
canine	carnivore
bean	carob
bone	carpal
buggy	carriage
cab	carriage
car	carriage
bassinet	carriage
being	carrier
business	carrier
body	carrion
appropriate	carry
bucket	carry
act	carry
bring	carry
broadcast	carry
balance	carry
capture	carry
booze	carry
boost	carry
behave	carry
assert	carry
bear	carry
birth	carry
advance	carry
acquit	carry
carry	cart
bill	carte
box	carton
arrange	cascade
briefcase	case
bold	case
adult	case
boot	case
box	case
baggage	case
argument	case
bit	case
banker	cashier
boot	casing
cards	casino
butt	cask
bier	casket
box	casket
block	cast
bowl	cast
articulate	cast
bandage	cast
appearance	cast
assign	cast
book	catalog
book	catalogue
activator	catalyst
cast	catapult
adversity	catastrophe
apocalypse	catastrophe
ache	catch
adult	catch
amass	catch
appeal	catch
attach	catch
attract	catch
bag	catch
board	catch
capture	catch
accumulate	catch
acquire	catch
board	cater
beef	cattle
bull	cattle
bovine	cattle
agent	cause
breed	cause
bring	cause
catalyst	cause
antecedent	cause
cave	cavern
abdomen	cavity
armpit	cavity
break	cease
adjourn	cease
altitude	ceiling
affair	celebration
bind	cement
adhesive	cement
appraise	censor
assess	censor
bowels	center
area	center
capital	center
absorb	center
building	center
bull	center
bowels	centre
area	centre
capital	centre
absorb	centre
building	centre
bull	centre
brick	ceramic
art	ceramics
barley	cereal
activity	ceremony
affair	ceremony
assurance	certainty
authority	certainty
bond	certificate
award	certificate
adjudge	certify
anger	chafe
beset	chafe
bran	chaff
bait	chaff
arrange	chain
business	chain
bond	chains
armchair	chair
berth	chair
billet	chair
carriage	chaise
chair	chaise
amphetamine	chalk
action	challenge
appeal	challenge
call	challenge
bid	challenge
assembly	chamber
cavity	chamber
challenger	champ
advocate	champion
back	champion
believer	champion
challenger	champion
blessing	championship
approval	championship
amount	chance
assay	chance
attempt	chance
audience	chance
archive	chancery
action	change
adapt	change
add	change
adjustment	change
aggravate	change
alien	change
amend	change
ash	change
better	change
break	change
cash	change
activate	change
bring	change
adopt	change
boil	change
bubble	change
ascend	change
camp	change
blunt	change
alternate	change
antique	change
capture	change
assimilate	change
affect	change
adorn	change
birth	change
acceleration	change
brighten	change
blur	change
accustom	change
assume	change
arrange	change
adjust	change
awaken	change
blind	change
arouse	change
age	change
breakup	change
barter	change
barb	change
blister	change
accelerate	change
catch	change
alter	change
bestow	change
acquire	change
alteration	change
animate	change
bring	channel
canal	channel
assembly	chapter
burn	char
carbon	char
adult	character
attribute	character
blank	character
capital	character
aspect	characteristic
attraction	characteristic
attribute	characteristic
badge	characteristic
carbon	charcoal
beet	chard
accusation	charge
ascribe	charge
assignment	charge
blame	charge
change	charge
accuse	charge
bother	charge
assess	charge
calculate	charge
attack	charge
bidding	charge
burden	charge
assign	charge
attribute	charge
asking	charge
account	charge
alter	charge
aim	charge
assessment	charge
bid	charge
benevolence	charity
attract	charm
appeal	charm
certify	charter
acquire	charter
abyss	chasm
body	chassis
berate	chastise
blather	chatter
babble	chatter
bite	chaw
bit	chaw
beat	cheat
bilk	cheat
bunk	cheat
accord	check
aggress	check
align	check
analyze	check
answer	check
appraisal	check
attack	check
bill	check
bind	check
block	check
canvas	check
canvass	check
card	check
change	check
charge	check
be	check
agree	check
blockade	check
account	check
catch	check
alter	check
blemish	check
assessment	check
bound	check
adhere	check
attendant	checker
amuse	cheer
approval	cheer
applaud	cheer
attribute	cheer
admirer	cheerleader
booster	cheerleader
champion	cheerleader
bleu	cheese
cease	cheese
cheddar	cheese
burger	cheeseburger
cake	cheesecake
cat	cheetah
carrier	chemical
caregiver	chemist
bishop	chessman
castle	chessman
bosom	chest
bust	chest
box	chest
brown	chestnut
callus	chestnut
champ	chew
bite	chew
chaw	chew
bit	chew
biddy	chicken
broiler	chicken
chick	chicken
chastise	chide
administrator	chief
babe	child
baby	child
buster	child
birth	childbirth
change	chill
apprehension	chill
alter	chill
break	chip
breaking	chip
approach	chip
blemish	chip
break	chipping
breaking	chipping
beat	chisel
bunk	chisel
bilk	chisel
carve	chisel
bill	chit
account	chit
block	chock
beverage	chocolate
brown	chocolate
action	choice
ballot	choice
area	choir
abort	choke
asphyxiate	choke
become	choke
block	choke
breathe	choke
chew	chomp
adopt	choose
anoint	choose
assign	choose
axe	chop
ax	chop
anthem	choral
change	chord
alter	chord
choir	chorus
body	chromosome
abandon	chuck
caress	chuck
bait	chum
amass	chunk
accumulate	chunk
abbey	church
cathedral	church
body	church
beverage	cider
assure	cinch
check	cinch
ascertain	cinch
bark	cinnamon
add	cipher
approximate	cipher
budget	cipher
average	cipher
camp	circle
border	circuit
bridge	circuit
advertising	circular
ad	circular
advert	circular
advertisement	circular
border	circumference
case	circumstance
ceremony	circumstance
bowl	circus
arena	circus
basin	cirque
appendage	cirrus
award	citation
call	cite
appeal	cite
acknowledge	cite
advert	cite
behavior	citizenship
blather	clack
babble	clack
ask	claim
charge	claim
affirm	claim
assert	claim
allegation	claim
avow	claim
assign	claim
aver	claim
bill	clam
call	clamor
beat	clap
approval	clapping
change	clarify
alter	clarify
brass	clarion
bosom	clasp
center	class
catalog	class
categorize	class
agriculture	class
catalogue	class
caste	class
brotherhood	class
artist	classic
appraisal	classification
arrangement	classification
assessment	classification
catalog	classify
categorize	classify
assign	classify
attribute	classify
catalogue	classify
assail	claw
assault	claw
attack	claw
anchor	claw
appendage	claw
adobe	clay
body	clay
bath	clean
bathe	clean
change	clean
brush	clean
be	clean
alter	clean
char	cleaner
bath	cleanse
bathe	cleanse
bathing	cleansing
clarify	clear
change	clear
area	clear
benefit	clear
bear	clear
approve	clear
bare	clear
certify	clear
allow	clear
alter	clear
certificate	clear
acquire	clear
calk	cleat
area	cleavage
break	cleft
chink	cleft
chap	cleft
articulate	click
catch	click
case	client
buyer	client
cease	climax
ascent	climb
ascending	climb
advance	climb
ascension	climb
bull	climb
clamber	climb
arise	climb
athlete	climber
ascent	climbing
ascension	climbing
bosom	clinch
argument	clincher
case	clip
attach	clip
blow	clip
circuit	clipper
band	clique
circle	clique
cape	cloak
beat	clobber
alarm	clock
block	clog
border	cloister
being	clone
block	close
bang	close
approach	close
cease	close
bung	close
blockade	close
bar	close
adjourn	close
belonging	closeness
bathroom	closet
booth	closet
can	closet
approach	closing
approach	closure
ball	clot
change	clot
chunk	clot
alter	clot
artifact	cloth
canvass	cloth
alpaca	cloth
bunting	cloth
canvas	cloth
camouflage	cloth
bagging	cloth
belting	cloth
batik	cloth
apparel	clothing
attire	clothing
blue	clothing
change	clothing
clothes	clothing
accessory	clothing
black	clothing
array	clothing
aerosol	cloud
affect	cloud
alter	cloud
billow	cloud
change	cloud
cirrus	cloud
blow	clout
advantage	clout
ail	clove
baton	club
assemble	club
building	club
chapter	club
association	club
bat	club
bunch	clump
assemble	clump
clot	clump
assemble	cluster
bunch	cluster
apprehend	clutch
bag	clutch
brood	clutch
capture	clutch
clasp	clutch
claw	clutch
clench	clutch
arrest	clutch
clinch	clutch
catch	clutch
car	coach
carriage	coach
burn	coal
aspect	coast
apparel	coat
cement	coat
clothe	coat
cloth	coating
cable	coax
bully	coax
ball	cobblers
bunk	cobblers
asp	cobra
cloth	cobweb
blow	cocaine
chicken	cock
bird	cock
appetizer	cocktail
beverage	cocoa
barrack	cod
betray	cod
chaff	cod
banter	cod
close	coda
closing	coda
cipher	code
access	code
address	code
beverage	coffee
brown	coffee
chest	coffer
bier	coffin
box	coffin
brain	cognition
attitude	cognition
ability	cognition
band	cohort
circle	cohort
choke	coil
cent	coin
change	coin
accident	coincidence
cocaine	coke
chill	cold
associate	collaborator
accessory	collaborator
breakdown	collapse
break	collapse
change	collapse
buckle	collapse
band	collar
capture	collar
clutch	collar
brim	collar
banding	collar
associate	colleague
amass	collect
bale	collect
clam	collect
club	collect
chunk	collect
archive	collect
catch	collect
accumulate	collect
acquire	collect
archives	collection
assortment	collection
batch	collection
block	collection
book	collection
bunch	collection
bundle	collection
category	collection
class	collection
clutch	collection
biology	collection
battery	collection
aviation	collection
body	college
accident	collision
address	colloquium
agreement	collusion
arrangement	collusion
body	colony
apologize	color
blue	color
change	color
blush	color
burn	color
azure	color
bronze	color
blanch	color
affect	color
adorn	color
brown	color
appearance	color
camouflage	color
black	color
blacken	color
alter	color
atlas	column
article	column
array	column
cloud	coma
aggression	combat
battle	combat
brush	combat
brawl	combat
battering	combat
banging	combat
clash	combat
alliance	combination
alignment	combination
attachment	combination
blend	combination
collection	combination
blending	combination
add	combine
absorb	combine
alloy	combine
arson	combustion
change	come
become	come
approach	come
address	come
arrive	come
attain	come
average	come
be	come
arise	come
actor	comedian
buffoon	comedian
clown	comedian
comedian	comedienne
challenger	comer
aid	comfort
assist	comfort
calm	comfort
allay	comfort
bedding	comfort
affluence	comfort
assistance	comfort
bedding	comforter
buffoon	comic
clown	comic
comedienne	comic
access	coming
arrival	coming
closing	coming
closure	coming
call	command
code	command
charm	command
charge	command
burden	command
care	command
authority	command
begin	commence
attack	commence
cite	commend
advert	commend
account	comment
barb	comment
cliche	comment
business	commerce
ad	commercial
advert	commercial
advertisement	commercial
advertising	commercial
assignment	commission
bidding	commission
board	commission
clear	commission
command	commission
certificate	commission
bid	commission
administrator	commissioner
act	commit
charge	commit
commend	commit
apply	commit
assurance	commitment
board	committee
cipher	commoner
ado	commotion
bustle	commotion
ask	communicate
carry	communicate
commune	communicate
address	communicate
acknowledge	communicate
blog	communicate
act	communication
channel	communication
announcer	communicator
author	communicator
broadcaster	communicator
comforter	communicator
account	communique
accord	community
agreement	community
break	commute
change	commute
alter	commute
auto	compact
case	compact
automobile	compact
car	compact
be	compact
choke	compact
arrange	compact
attendant	companion
associate	companion
band	company
circle	company
cohort	company
circus	company
associate	company
chorus	company
attendance	company
adverb	comparative
adjective	comparative
analyze	compare
be	compare
canvas	compare
canvass	compare
collate	compare
analogy	comparison
bay	compartment
cab	compartment
cabin	compartment
cabinet	compartment
cell	compartment
car	compartment
box	compartment
cockpit	compartment
accomplish	compass
attain	compass
circle	compass
achieve	compass
capability	compass
care	compassionate
ask	compel
cause	compel
clamor	compel
apply	compel
coerce	compel
amends	compensation
ability	competence
ability	competency
athletics	competition
bout	competition
champ	competition
championship	competition
chicken	competition
comer	competition
champion	competition
champ	competitor
champion	competitor
comer	competitor
bale	compile
collect	compile
chunk	compile
catalog	compile
catalogue	compile
catch	compile
author	compiler
bitch	complain
charge	complain
beef	complain
accusation	complaint
balance	complement
company	complement
action	complete
accomplish	complete
close	complete
college	complex
addition	component
balance	component
base	component
audio	component
accessory	component
basis	component
butt	component
adopt	compose
author	compose
calm	compose
cite	compose
catalog	compose
catalogue	compose
be	compose
arrange	compose
arrangement	composition
arranging	composition
canon	composition
composition	compost
add	compound
base	compound
complex	compound
assemble	compound
amplify	compound
acid	compound
calculate	compound
buffer	compound
account	compound
chemical	compound
chloride	compound
caustic	compound
ache	comprehend
catch	comprehend
apprehension	comprehension
choke	compress
agree	compromise
auditor	comptroller
add	compute
approximate	compute
budget	compute
average	compute
client	computer
adder	computer
alternate	con
captive	con
cheat	con
chisel	con
argument	con
block	conceal
bosom	conceal
cloud	conceal
bury	conceal
acknowledge	concede
admit	concede
agree	concede
change	concentrate
abridge	concentrate
capsule	concentrate
absorb	concentrate
alter	concentrate
assembly	concentration
centering	concentration
attention	concentration
abstract	concept
category	concept
attribute	concept
abstract	conception
attribute	conception
beginning	conception
category	conception
affair	concern
affairs	concern
affect	concern
agency	concern
anxiety	concern
carrier	concern
center	concern
burden	concern
chain	concern
business	concern
apply	concern
assent	concession
bye	concession
agreement	concession
cease	conclude
agree	conclude
abortion	conclusion
appointment	conclusion
assignment	conclusion
assumption	conclusion
call	conclusion
choice	conclusion
abort	conclusion
closing	conclusion
completion	conclusion
coda	conclusion
breakup	conclusion
closure	conclusion
batter	concoction
conception	concoction
cement	concrete
conclude	concur
arrange	concur
concede	concur
attach	condemn
attest	condemn
boo	condemn
compel	condemn
certify	condemn
action	condensation
activity	condensation
catsup	condiment
circumstances	condition
amend	condition
assumption	condition
better	condition
atmosphere	condition
climate	condition
comfort	condition
celibacy	condition
ambience	condition
ambiance	condition
circumstance	condition
coach	conditioner
atmosphere	conditions
circumstance	conditions
abode	condo
act	conduct
carry	conduct
bring	conduct
assert	conduct
bear	conduct
aggression	conduct
beacon	conduct
activity	conduct
care	conduct
citizenship	conduct
accumulator	conductor
bus	conductor
cable	conductor
collector	conductor
artifact	cone
bunny	coney
candy	confection
center	confection
centre	confection
assemble	confection
bless	confer
award	confer
audience	conference
class	conference
colloquium	conference
association	conference
acknowledge	confess
admit	confess
admission	confession
confidant	confidante
break	confide
charge	confide
commend	confide
certainty	confidence
assemble	configure
baffle	confine
bear	confine
bind	confine
border	confine
cabin	confine
cage	confine
cap	confine
carry	confine
check	confine
closet	confine
bound	confine
birth	confinement
captivity	confinement
classification	confinement
committal	confinement
commitment	confinement
affirm	confirm
approve	confirm
back	confirm
agreement	confirmation
action	conflict
collide	conflict
break	conflict
assault	conflict
collision	conflict
breach	conflict
combat	conflict
argument	conflict
clash	conflict
agreement	conformity
amaze	confound
baffle	confound
be	confound
beat	confound
bewilder	confound
approach	confront
breast	confront
challenge	confrontation
comparison	confrontation
bewilder	confuse
beat	confuse
change	confuse
bother	confuse
addle	confuse
baffle	confuse
assemble	confuse
amaze	confuse
be	confuse
alter	confuse
combination	confusion
chaos	confusion
bluster	confusion
bid	congratulate
compliment	congratulations
approval	congratulations
assembly	congregation
collection	congregation
ass	congress
bless	conjure
asphyxiate	conk
abort	conk
articulate	connect
bridge	connect
attach	connect
be	connect
conjunction	connection
alliance	connection
attachment	connection
bridge	connection
bond	connection
communication	connection
acquaintance	connection
approximation	connection
backbone	connection
conjunction	connective
attachment	connective
bond	connective
backbone	connective
attachment	connector
bond	connector
conjunction	connector
backbone	connector
assume	conquer
blink	conquer
carry	conquer
check	conquer
capture	conquest
adventurer	conquistador
awareness	consciousness
accord	consensus
agreement	consensus
agree	consent
allow	consent
branch	consequence
change	consequence
advance	conservation
adult	conservative
capitalist	conservative
call	consider
appreciate	consider
canvass	consider
believe	consider
analyze	consider
abstract	consider
canvas	consider
conceive	consider
compare	consider
abandon	consign
check	consign
commit	consign
confide	consign
bringing	consignment
confinement	consignment
comfort	consolation
calm	console
allay	console
bracket	console
band	conspiracy
circle	conspiracy
agreement	conspiracy
beginning	constitution
choke	constrict
condensation	constriction
boa	constrictor
abstract	construct
attribute	construct
category	construct
altar	construction
arch	construction
area	construction
artifact	construction
balance	construction
boarding	construction
bowl	construction
bridge	construction
column	construction
complement	construction
complex	construction
assembly	construction
clause	construction
building	construction
balcony	construction
business	construction
body	construction
coil	construction
arena	construction
arcade	construction
advise	consult
ask	consult
action	consultation
conference	consultation
burn	consume
booze	consume
absorb	consume
chewer	consumer
client	consumer
campaign	consumerism
cause	consumerism
closing	consummation
coming	consummation
completion	consummation
climax	consummation
activity	consumption
attach	contact
border	contact
brush	contact
chafe	contact
cling	contact
collision	contact
communicate	contact
communication	contact
conjunction	contact
connection	contact
channel	contact
butt	contact
abut	contact
cleave	contact
adhere	contact
communication	contagion
be	contain
confine	contain
catch	contain
conquer	contain
bound	contain
bag	container
bank	container
basket	container
bin	container
bowl	container
box	container
bunker	container
canister	container
capsule	container
case	container
cassette	container
cast	container
can	container
change	contaminate
alter	contaminate
bunk	content
center	content
centre	content
cognition	content
communication	content
aside	content
approval	content
acceptance	content
belief	content
collection	content
confine	content
body	content
commitment	content
conflict	contention
bout	contest
championship	contest
chicken	contest
challenge	contest
contention	contest
athletics	contest
competition	contest
conditions	context
activity	continuance
abide	continue
act	continue
bide	continue
carry	continue
be	continue
coil	contraceptive
condom	contraceptive
assure	contract
bidding	contract
bridge	contract
change	contract
charter	contract
concentrate	contract
concession	contract
condition	contract
choke	contract
catch	contract
alter	contract
bid	contract
constriction	contraction
constructor	contractor
builder	contractor
comparison	contrast
